"","X","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","TruePositive","TrueNegative","impression","Scores"
"641",641,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"642",642,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"644",644,1,1,0,0,0,0,0,0,1,0,1,2,"Negative","0"
"645",645,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"646",646,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"647",647,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"648",648,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"649",649,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"650",650,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"651",651,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"653",653,2,1,1,2,0,2,1,0,2,0,2,9,"Negative","0"
"654",654,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"656",656,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"658",658,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"662",662,0,2,0,0,2,0,1,2,0,2,9,0,"Positive","1"
"663",663,1,2,0,0,1,0,1,1,1,1,6,2,"Positive","1"
"664",664,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"665",665,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"667",667,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"668",668,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"669",669,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"672",672,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"673",673,0,1,0,0,0,0,0,1,1,1,3,1,"Positive","1"
"674",674,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"675",675,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"676",676,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"680",680,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"681",681,0,1,0,0,2,0,1,1,0,2,7,0,"Positive","1"
"683",683,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"684",684,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"686",686,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"687",687,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"689",689,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"690",690,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"691",691,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"692",692,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"693",693,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"695",695,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"696",696,1,1,0,0,0,0,0,0,1,2,3,2,"Positive","1"
"697",697,0,1,0,0,0,0,0,0,0,1,2,0,"Positive","1"
"698",698,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"699",699,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"701",701,0,0,1,0,0,1,0,0,1,0,0,3,"Negative","0"
"702",702,2,1,1,1,1,0,0,1,1,1,4,5,"Negative","0"
"703",703,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"704",704,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"705",705,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"706",706,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"709",709,0,0,0,0,0,0,0,0,1,0,0,1,"Negative","0"
"711",711,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"713",713,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"714",714,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"716",716,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"717",717,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"719",719,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"720",720,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"721",721,0,1,0,0,1,0,0,2,0,1,5,0,"Positive","1"
"724",724,1,0,0,1,0,0,0,1,1,0,1,3,"Negative","0"
"726",726,1,1,0,0,1,0,1,1,0,2,6,1,"Positive","1"
"727",727,0,0,0,0,0,0,0,1,0,2,3,0,"Positive","1"
"728",728,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"729",729,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"730",730,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"732",732,0,2,0,0,1,0,1,1,0,2,7,0,"Positive","1"
"734",734,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"735",735,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"736",736,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"737",737,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"739",739,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"740",740,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"742",742,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"743",743,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"744",744,1,2,1,1,1,1,1,1,1,1,6,5,"Positive","1"
"745",745,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"746",746,0,1,1,1,1,1,1,1,1,1,5,4,"Positive","1"
"747",747,3,3,0,0,1,0,1,1,2,1,7,5,"Positive","1"
"748",748,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"749",749,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"750",750,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"752",752,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"753",753,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"754",754,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"755",755,1,2,0,0,2,0,2,2,0,3,11,1,"Positive","1"
"756",756,0,1,0,0,1,0,0,2,0,1,5,0,"Positive","1"
"758",758,1,1,1,1,0,1,0,0,1,0,1,5,"Negative","0"
"759",759,0,2,0,0,1,0,1,1,0,2,7,0,"Positive","1"
"761",761,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"762",762,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"763",763,0,1,0,0,2,0,1,2,0,2,8,0,"Positive","1"
"765",765,1,1,1,1,0,1,0,0,1,0,1,5,"Negative","0"
"768",768,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"769",769,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"770",770,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"772",772,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"774",774,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"776",776,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"778",778,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"780",780,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"781",781,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"783",783,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"785",785,0,1,0,0,0,0,0,0,0,1,2,0,"Positive","1"
"789",789,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"790",790,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"791",791,0,1,0,0,0,0,0,1,0,0,2,0,"Positive","1"
"792",792,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"793",793,0,0,0,0,0,0,0,0,1,0,0,1,"Negative","0"
"794",794,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"797",797,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"798",798,0,0,1,0,0,0,0,0,1,0,0,2,"Negative","0"
"799",799,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"801",801,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"802",802,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"804",804,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"805",805,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"807",807,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"808",808,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"810",810,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"812",812,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"814",814,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"815",815,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"817",817,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"819",819,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"820",820,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"823",823,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"824",824,0,1,0,0,0,0,0,1,0,0,2,0,"Positive","1"
"827",827,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"828",828,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"830",830,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"831",831,0,1,0,1,1,0,1,2,0,2,7,1,"Positive","1"
"832",832,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"836",836,0,1,0,0,1,0,1,2,0,1,6,0,"Positive","1"
"838",838,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"840",840,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"842",842,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"845",845,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"846",846,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"847",847,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"850",850,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"853",853,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"855",855,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"856",856,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"857",857,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"859",859,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"864",864,0,0,0,0,0,1,0,0,1,0,0,2,"Negative","0"
"867",867,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"869",869,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"875",875,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"876",876,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"878",878,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"879",879,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"883",883,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"884",884,0,2,1,1,1,1,1,1,1,1,6,4,"Positive","1"
"885",885,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"886",886,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"887",887,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"888",888,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"889",889,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"890",890,0,0,0,1,0,1,0,0,1,1,1,3,"Negative","0"
"896",896,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"897",897,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"898",898,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"899",899,1,0,0,0,1,0,0,1,1,1,3,2,"Positive","1"
"900",900,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"901",901,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"902",902,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"904",904,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"905",905,0,1,0,0,1,0,0,1,0,2,5,0,"Positive","1"
"906",906,0,0,1,0,0,1,0,0,1,1,1,3,"Negative","0"
"912",912,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"914",914,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"916",916,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"918",918,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"921",921,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"926",926,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"927",927,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"928",928,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"929",929,0,1,0,1,0,1,0,0,1,0,1,3,"Negative","0"
"930",930,0,0,0,0,0,0,0,0,0,2,2,0,"Positive","1"
"931",931,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"932",932,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"935",935,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"936",936,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"937",937,0,0,0,0,0,0,0,0,1,0,0,1,"Negative","0"
"938",938,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"939",939,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"943",943,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"944",944,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"945",945,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"949",949,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"951",951,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"952",952,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"955",955,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"956",956,0,0,0,0,0,0,0,0,1,0,0,1,"Negative","0"
"957",957,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"958",958,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"959",959,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"962",962,1,1,0,0,1,0,0,1,1,1,4,2,"Positive","1"
"964",964,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"966",966,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"967",967,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"968",968,1,0,0,0,0,0,0,1,1,0,1,2,"Negative","0"
"970",970,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"971",971,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"972",972,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"975",975,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"977",977,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"978",978,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"980",980,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"986",986,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"987",987,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"988",988,1,2,0,0,1,0,1,1,0,1,6,1,"Positive","1"
"989",989,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"990",990,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"993",993,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"994",994,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"997",997,1,0,0,1,0,0,0,0,1,0,0,3,"Negative","0"
"998",998,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"999",999,0,1,0,1,0,1,0,0,1,0,1,3,"Negative","0"
"1000",1000,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"1001",1001,1,1,0,0,0,0,0,0,1,0,1,2,"Negative","0"
"1002",1002,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
