"","X","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","TruePositive","TrueNegative","impression","Scores"
"136",136,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"137",137,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"139",139,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"140",140,0,0,0,0,0,0,0,0,1,0,0,1,"Negative","0"
"144",144,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"148",148,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"150",150,1,3,0,0,3,0,2,4,0,4,16,1,"Positive","1"
"152",152,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"153",153,1,0,0,1,0,1,0,0,2,0,0,5,"Negative","0"
"157",157,0,1,0,0,1,0,1,2,0,1,6,0,"Positive","1"
"160",160,0,0,0,0,1,0,1,1,0,1,4,0,"Positive","1"
"162",162,0,2,0,0,1,1,0,1,1,1,5,2,"Positive","1"
"163",163,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"165",165,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"166",166,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"167",167,0,0,0,0,1,0,0,2,0,1,4,0,"Positive","1"
"172",172,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"177",177,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"180",180,0,1,0,0,0,0,0,0,1,1,2,1,"Positive","1"
"183",183,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"184",184,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"185",185,0,2,0,0,1,0,1,1,0,2,7,0,"Positive","1"
"188",188,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"190",190,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"191",191,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"192",192,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"194",194,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"195",195,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
